Codigo;Decibelios medidos;Fecha/Hora medicion
BI-RUI-004;74.749;2025-12-28 00:01:15.49
BI-RUI-017;77.429;2025-12-28 00:01:15.49
BI-RUI-019;66.248;2025-12-28 00:01:15.49
BI-RUI-C008;58.5;2025-12-28 00:01:15.49
BI-RUI-001;70.077;2025-12-28 00:01:34.167
BI-RUI-007;70.388;2025-12-28 00:01:34.167
BI-RUI-C020;76.50;2025-12-28 00:01:38.963
BI-RUI-006;83.264;2025-12-28 00:02:27.047
BI-RUI-C025;47.30;2025-12-28 00:02:42.317
BI-RUI-008;67.987;2025-12-28 00:03:33.573
BI-RUI-010;79.557;2025-12-28 00:03:56.887
BI-RUI-P004;61.5;2025-12-28 00:04:17.687
BI-RUI-BR15;70.70;2025-12-28 00:04:51.63
BI-RUI-P001;65.3;2025-12-28 00:05:24.837
BI-RUI-011;71.165;2025-12-28 00:06:06.967
BI-RUI-C005;59.0;2025-12-28 00:07:16.087
BI-RUI-025;63.80;2025-12-28 00:07:16.257
BI-RUI-005;66.491;2025-12-28 00:07:44.167
BI-RUI-009;75.470;2025-12-28 00:07:44.353
BI-RUI-P012;66.4;2025-12-28 00:08:07.187
BI-RUI-C025;43.70;2025-12-28 00:08:09.7
BI-RUI-020;70.60;2025-12-28 00:08:23.077
BI-RUI-C006;68.1;2025-12-28 00:08:29.75
BI-RUI-P007;62.8;2025-12-28 00:08:33.25
BI-RUI-C002;71.3;2025-12-28 00:09:12.413
BI-RUI-P014;55.7;2025-12-28 00:09:14.88
BI-RUI-C009;79.1;2025-12-28 00:09:15.32
BI-RUI-C012;57.5;2025-12-28 00:10:02.827
BI-RUI-BR8;56.40;2025-12-28 00:10:26.97
BI-RUI-P011;65.8;2025-12-28 00:10:45.61
BI-RUI-C015;70.20;2025-12-28 00:10:51.783
BI-RUI-BR11;61.481;2025-12-28 00:11:07.007
BI-RUI-021;78.00;2025-12-28 00:11:27.947
BI-RUI-022;86.30;2025-12-28 00:12:12.513
BI-RUI-P002;30.9;2025-12-28 00:12:14.95
BI-RUI-C011;57.20;2025-12-28 00:12:19.75
BI-RUI-P009;64.6;2025-12-28 00:12:30.673
BI-RUI-C003;55.10;2025-12-28 00:13:03.147
BI-RUI-C005;74.4;2025-12-28 00:13:03.863
BI-RUI-C004;73.4;2025-12-28 00:13:34.977
BI-RUI-C025;42.80;2025-12-28 00:13:36.133
BI-RUI-C001;64.9;2025-12-28 00:13:59.527
BI-RUI-015;80.020;2025-12-28 00:14:04.747
